signal,snr,traffic,distance,data_rate
-52,5,48,422,27
-104,24,77,718,22
-58,11,73,663,23
-72,11,48,463,41
-68,17,10,541,44
-99,8,45,636,32
-71,25,45,369,41
-82,23,30,332,12
-78,6,73,586,38
-101,18,70,691,39
-48,21,73,664,16
-52,9,88,661,26
-52,9,88,707,14
-44,18,74,424,30
-52,11,70,470,31
-48,14,24,376,14
-53,10,31,190,33
-60,5,85,211,21
-104,20,37,753,16
-85,12,40,407,30
-51,13,62,216,28
-59,16,34,792,26
-88,6,90,360,35
-69,17,82,463,45
-90,20,11,363,32
-85,14,24,589,45
-96,8,32,318,29
-61,22,21,448,24
-61,17,32,793,33
-59,18,33,458,13
-54,25,34,745,34
-98,12,26,428,26
-99,6,32,269,11
-88,5,62,136,18
-49,15,54,353,25
-48,13,48,770,17
-75,17,78,352,27
-55,13,22,361,28
-59,9,49,136,33
-72,12,38,374,39
-110,9,83,289,33
-43,10,64,724,21
-61,8,82,163,25
-44,6,87,479,35
-110,6,46,612,29
-92,11,36,526,18
-63,16,52,442,31
-64,9,28,434,16
-110,12,75,677,26
-44,21,21,559,39
-54,14,79,108,45
-63,17,24,147,36
-47,12,59,349,15
-70,19,26,256,17
-88,19,66,723,49
-73,12,78,600,11
-66,17,14,225,38
-62,13,37,602,26
-47,24,59,198,49
-88,25,25,396,19
-84,10,90,279,19
-46,16,11,165,24
-107,11,88,427,18
-108,9,32,316,26
-97,16,61,173,27
-58,19,54,125,42
-53,16,36,133,44
